"Id","ActivityDate","TotalSleepRecords","TotalMinutesAsleep","TotalTimeInBed","DayOfWeek"
1503960366,2016-04-12,1,327,346,"Tuesday"
1503960366,2016-04-13,2,384,407,"Wednesday"
1503960366,2016-04-15,1,412,442,"Friday"
1503960366,2016-04-16,2,340,367,"Saturday"
1503960366,2016-04-17,1,700,712,"Sunday"
1503960366,2016-04-19,1,304,320,"Tuesday"
1503960366,2016-04-20,1,360,377,"Wednesday"
1503960366,2016-04-21,1,325,364,"Thursday"
1503960366,2016-04-23,1,361,384,"Saturday"
1503960366,2016-04-24,1,430,449,"Sunday"
1503960366,2016-04-25,1,277,323,"Monday"
1503960366,2016-04-26,1,245,274,"Tuesday"
1503960366,2016-04-28,1,366,393,"Thursday"
1503960366,2016-04-29,1,341,354,"Friday"
1503960366,2016-04-30,1,404,425,"Saturday"
1503960366,2016-05-01,1,369,396,"Sunday"
1503960366,2016-05-02,1,277,309,"Monday"
1503960366,2016-05-03,1,273,296,"Tuesday"
1503960366,2016-05-05,1,247,264,"Thursday"
1503960366,2016-05-06,1,334,367,"Friday"
1503960366,2016-05-07,1,331,349,"Saturday"
1503960366,2016-05-08,1,594,611,"Sunday"
1503960366,2016-05-09,1,338,342,"Monday"
1503960366,2016-05-10,1,383,403,"Tuesday"
1503960366,2016-05-11,1,285,306,"Wednesday"
1644430081,2016-04-29,1,119,127,"Friday"
1644430081,2016-04-30,1,124,142,"Saturday"
1644430081,2016-05-02,1,796,961,"Monday"
1644430081,2016-05-08,1,137,154,"Sunday"
1844505072,2016-04-15,1,644,961,"Friday"
1844505072,2016-04-30,1,722,961,"Saturday"
1844505072,2016-05-01,1,590,961,"Sunday"
1927972279,2016-04-12,3,750,775,"Tuesday"
1927972279,2016-04-13,1,398,422,"Wednesday"
1927972279,2016-04-15,2,475,499,"Friday"
1927972279,2016-04-26,1,296,315,"Tuesday"
1927972279,2016-04-28,1,166,178,"Thursday"
2026352035,2016-04-12,1,503,546,"Tuesday"
2026352035,2016-04-13,1,531,565,"Wednesday"
2026352035,2016-04-14,1,545,568,"Thursday"
2026352035,2016-04-15,1,523,573,"Friday"
2026352035,2016-04-16,1,524,567,"Saturday"
2026352035,2016-04-17,1,437,498,"Sunday"
2026352035,2016-04-19,1,498,540,"Tuesday"
2026352035,2016-04-20,1,461,510,"Wednesday"
2026352035,2016-04-21,1,477,514,"Thursday"
2026352035,2016-04-22,1,520,545,"Friday"
2026352035,2016-04-23,1,522,554,"Saturday"
2026352035,2016-04-24,1,555,591,"Sunday"
2026352035,2016-04-25,1,506,531,"Monday"
2026352035,2016-04-27,1,508,545,"Wednesday"
2026352035,2016-04-28,1,513,545,"Thursday"
2026352035,2016-04-29,1,490,510,"Friday"
2026352035,2016-04-30,1,573,607,"Saturday"
2026352035,2016-05-01,1,527,546,"Sunday"
2026352035,2016-05-02,1,511,543,"Monday"
2026352035,2016-05-04,1,538,560,"Wednesday"
2026352035,2016-05-05,1,468,485,"Thursday"
2026352035,2016-05-06,1,524,548,"Friday"
2026352035,2016-05-07,1,511,521,"Saturday"
2026352035,2016-05-08,1,541,568,"Sunday"
2026352035,2016-05-09,1,531,556,"Monday"
2026352035,2016-05-10,1,357,380,"Tuesday"
2026352035,2016-05-11,1,523,553,"Wednesday"
2026352035,2016-05-12,1,456,485,"Thursday"
2320127002,2016-04-23,1,61,69,"Saturday"
2347167796,2016-04-13,1,467,531,"Wednesday"
2347167796,2016-04-14,1,445,489,"Thursday"
2347167796,2016-04-15,1,452,504,"Friday"
2347167796,2016-04-17,1,556,602,"Sunday"
2347167796,2016-04-18,1,500,557,"Monday"
2347167796,2016-04-19,1,465,514,"Tuesday"
2347167796,2016-04-21,1,460,484,"Thursday"
2347167796,2016-04-22,1,405,461,"Friday"
2347167796,2016-04-23,1,374,386,"Saturday"
2347167796,2016-04-24,1,442,459,"Sunday"
2347167796,2016-04-25,1,433,471,"Monday"
2347167796,2016-04-26,1,436,490,"Tuesday"
2347167796,2016-04-27,1,448,499,"Wednesday"
2347167796,2016-04-28,1,408,450,"Thursday"
2347167796,2016-04-29,1,411,473,"Friday"
3977333714,2016-04-12,1,274,469,"Tuesday"
3977333714,2016-04-13,2,295,456,"Wednesday"
3977333714,2016-04-14,1,291,397,"Thursday"
3977333714,2016-04-15,1,424,556,"Friday"
3977333714,2016-04-16,1,283,510,"Saturday"
3977333714,2016-04-17,1,381,566,"Sunday"
3977333714,2016-04-18,2,412,522,"Monday"
3977333714,2016-04-19,1,219,395,"Tuesday"
3977333714,2016-04-20,2,152,305,"Wednesday"
3977333714,2016-04-21,1,332,512,"Thursday"
3977333714,2016-04-22,1,355,476,"Friday"
3977333714,2016-04-23,1,235,372,"Saturday"
3977333714,2016-04-24,1,310,526,"Sunday"
3977333714,2016-04-25,1,262,467,"Monday"
3977333714,2016-04-26,1,250,371,"Tuesday"
3977333714,2016-04-27,1,349,540,"Wednesday"
3977333714,2016-04-28,1,261,423,"Thursday"
3977333714,2016-04-29,1,333,478,"Friday"
3977333714,2016-04-30,1,237,382,"Saturday"
3977333714,2016-05-01,1,383,626,"Sunday"
3977333714,2016-05-02,1,230,384,"Monday"
3977333714,2016-05-03,1,292,500,"Tuesday"
3977333714,2016-05-04,1,213,336,"Wednesday"
3977333714,2016-05-05,1,318,480,"Thursday"
3977333714,2016-05-06,1,323,512,"Friday"
3977333714,2016-05-07,1,237,443,"Saturday"
3977333714,2016-05-08,2,259,456,"Sunday"
3977333714,2016-05-10,1,312,452,"Tuesday"
4020332650,2016-04-12,1,501,541,"Tuesday"
4020332650,2016-04-16,1,77,77,"Saturday"
4020332650,2016-05-03,1,322,332,"Tuesday"
4020332650,2016-05-04,1,478,536,"Wednesday"
4020332650,2016-05-05,1,226,248,"Thursday"
4020332650,2016-05-06,1,385,408,"Friday"
4020332650,2016-05-08,1,364,402,"Sunday"
4020332650,2016-05-10,1,442,494,"Tuesday"
4319703577,2016-04-14,1,535,557,"Thursday"
4319703577,2016-04-15,1,465,491,"Friday"
4319703577,2016-04-16,1,506,522,"Saturday"
4319703577,2016-04-18,1,515,551,"Monday"
4319703577,2016-04-19,2,461,498,"Tuesday"
4319703577,2016-04-20,1,523,543,"Wednesday"
4319703577,2016-04-21,1,59,65,"Thursday"
4319703577,2016-04-22,1,533,550,"Friday"
4319703577,2016-04-23,1,692,722,"Saturday"
4319703577,2016-04-24,1,467,501,"Sunday"
4319703577,2016-04-25,1,488,506,"Monday"
4319703577,2016-04-26,1,505,516,"Tuesday"
4319703577,2016-04-27,1,286,307,"Wednesday"
4319703577,2016-04-28,1,497,522,"Thursday"
4319703577,2016-04-29,1,523,546,"Friday"
4319703577,2016-04-30,1,490,516,"Saturday"
4319703577,2016-05-01,1,484,500,"Sunday"
4319703577,2016-05-02,1,478,506,"Monday"
4319703577,2016-05-03,1,474,512,"Tuesday"
4319703577,2016-05-06,1,450,491,"Friday"
4319703577,2016-05-07,1,507,530,"Saturday"
4319703577,2016-05-08,1,602,638,"Sunday"
4319703577,2016-05-09,1,535,565,"Monday"
4319703577,2016-05-10,1,487,517,"Tuesday"
4319703577,2016-05-11,1,529,558,"Wednesday"
4319703577,2016-05-12,1,302,321,"Thursday"
4388161847,2016-04-15,1,499,526,"Friday"
4388161847,2016-04-16,2,426,448,"Saturday"
4388161847,2016-04-17,2,619,641,"Sunday"
4388161847,2016-04-18,1,99,104,"Monday"
4388161847,2016-04-19,1,329,338,"Tuesday"
4388161847,2016-04-20,1,421,451,"Wednesday"
4388161847,2016-04-21,1,442,458,"Thursday"
4388161847,2016-04-22,1,82,85,"Friday"
4388161847,2016-04-23,1,478,501,"Saturday"
4388161847,2016-04-24,3,552,595,"Sunday"
4388161847,2016-04-26,1,319,346,"Tuesday"
4388161847,2016-04-27,1,439,500,"Wednesday"
4388161847,2016-04-28,1,428,458,"Thursday"
4388161847,2016-04-30,2,409,430,"Saturday"
4388161847,2016-05-01,1,547,597,"Sunday"
4388161847,2016-05-02,2,368,376,"Monday"
4388161847,2016-05-04,1,390,414,"Wednesday"
4388161847,2016-05-05,1,471,495,"Thursday"
4388161847,2016-05-05,1,471,495,"Thursday"
4388161847,2016-05-07,1,472,496,"Saturday"
4388161847,2016-05-08,2,529,541,"Sunday"
4388161847,2016-05-09,1,62,65,"Monday"
4388161847,2016-05-10,1,354,375,"Tuesday"
4388161847,2016-05-11,1,469,494,"Wednesday"
4445114986,2016-04-12,2,429,457,"Tuesday"
4445114986,2016-04-13,2,370,406,"Wednesday"
4445114986,2016-04-14,1,441,492,"Thursday"
4445114986,2016-04-15,2,337,379,"Friday"
4445114986,2016-04-16,1,462,499,"Saturday"
4445114986,2016-04-17,1,98,107,"Sunday"
4445114986,2016-04-19,2,388,424,"Tuesday"
4445114986,2016-04-20,1,439,462,"Wednesday"
4445114986,2016-04-21,1,436,469,"Thursday"
4445114986,2016-04-22,1,388,417,"Friday"
4445114986,2016-04-25,1,328,345,"Monday"
4445114986,2016-04-26,2,353,391,"Tuesday"
4445114986,2016-04-27,1,332,374,"Wednesday"
4445114986,2016-04-28,1,419,442,"Thursday"
4445114986,2016-04-29,1,106,108,"Friday"
4445114986,2016-04-30,1,322,353,"Saturday"
4445114986,2016-05-01,2,439,459,"Sunday"
4445114986,2016-05-02,1,502,542,"Monday"
4445114986,2016-05-03,2,417,450,"Tuesday"
4445114986,2016-05-04,2,337,363,"Wednesday"
4445114986,2016-05-05,2,462,513,"Thursday"
4445114986,2016-05-06,2,374,402,"Friday"
4445114986,2016-05-07,2,401,436,"Saturday"
4445114986,2016-05-08,1,361,391,"Sunday"
4445114986,2016-05-09,1,457,533,"Monday"
4445114986,2016-05-10,1,405,426,"Tuesday"
4445114986,2016-05-11,1,499,530,"Wednesday"
4445114986,2016-05-12,1,483,501,"Thursday"
4558609924,2016-04-21,1,126,137,"Thursday"
4558609924,2016-04-26,1,103,121,"Tuesday"
4558609924,2016-04-29,1,171,179,"Friday"
4558609924,2016-05-01,1,115,129,"Sunday"
4558609924,2016-05-08,1,123,134,"Sunday"
4702921684,2016-04-12,1,425,439,"Tuesday"
4702921684,2016-04-13,2,400,430,"Wednesday"
4702921684,2016-04-14,1,384,415,"Thursday"
4702921684,2016-04-15,1,253,257,"Friday"
4702921684,2016-04-16,2,382,406,"Saturday"
4702921684,2016-04-17,1,591,612,"Sunday"
4702921684,2016-04-18,1,293,312,"Monday"
4702921684,2016-04-19,1,457,487,"Tuesday"
4702921684,2016-04-20,1,454,468,"Wednesday"
4702921684,2016-04-21,1,425,434,"Thursday"
4702921684,2016-04-23,1,465,475,"Saturday"
4702921684,2016-04-24,1,480,506,"Sunday"
4702921684,2016-04-25,1,370,380,"Monday"
4702921684,2016-04-26,1,421,429,"Tuesday"
4702921684,2016-04-27,1,432,449,"Wednesday"
4702921684,2016-04-28,1,442,461,"Thursday"
4702921684,2016-04-29,1,433,447,"Friday"
4702921684,2016-04-30,1,479,501,"Saturday"
4702921684,2016-05-03,1,327,373,"Tuesday"
4702921684,2016-05-04,1,412,434,"Wednesday"
4702921684,2016-05-05,1,414,428,"Thursday"
4702921684,2016-05-06,1,404,449,"Friday"
4702921684,2016-05-07,1,520,543,"Saturday"
4702921684,2016-05-07,1,520,543,"Saturday"
4702921684,2016-05-09,1,435,458,"Monday"
4702921684,2016-05-10,1,416,431,"Tuesday"
4702921684,2016-05-11,1,354,366,"Wednesday"
4702921684,2016-05-12,1,404,442,"Thursday"
5553957443,2016-04-12,1,441,464,"Tuesday"
5553957443,2016-04-13,2,455,488,"Wednesday"
5553957443,2016-04-14,1,357,418,"Thursday"
5553957443,2016-04-15,1,377,409,"Friday"
5553957443,2016-04-16,2,651,686,"Saturday"
5553957443,2016-04-17,1,350,402,"Sunday"
5553957443,2016-04-18,2,520,541,"Monday"
5553957443,2016-04-19,1,357,410,"Tuesday"
5553957443,2016-04-20,1,658,678,"Wednesday"
5553957443,2016-04-21,1,399,431,"Thursday"
5553957443,2016-04-22,1,322,353,"Friday"
5553957443,2016-04-23,2,631,725,"Saturday"
5553957443,2016-04-24,2,553,640,"Sunday"
5553957443,2016-04-25,1,433,468,"Monday"
5553957443,2016-04-26,1,412,453,"Tuesday"
5553957443,2016-04-27,1,347,391,"Wednesday"
5553957443,2016-04-28,1,421,457,"Thursday"
5553957443,2016-04-29,1,450,495,"Friday"
5553957443,2016-04-30,2,775,843,"Saturday"
5553957443,2016-05-01,2,622,686,"Sunday"
5553957443,2016-05-02,1,409,471,"Monday"
5553957443,2016-05-03,1,380,429,"Tuesday"
5553957443,2016-05-04,1,447,470,"Wednesday"
5553957443,2016-05-05,1,419,464,"Thursday"
5553957443,2016-05-06,1,400,434,"Friday"
5553957443,2016-05-07,1,442,470,"Saturday"
5553957443,2016-05-08,1,568,608,"Sunday"
5553957443,2016-05-09,1,453,494,"Monday"
5553957443,2016-05-10,1,418,443,"Tuesday"
5553957443,2016-05-11,1,463,486,"Wednesday"
5553957443,2016-05-12,1,438,475,"Thursday"
5577150313,2016-04-12,1,419,438,"Tuesday"
5577150313,2016-04-13,1,432,458,"Wednesday"
5577150313,2016-04-14,1,477,497,"Thursday"
5577150313,2016-04-15,1,392,413,"Friday"
5577150313,2016-04-16,1,406,445,"Saturday"
5577150313,2016-04-17,1,549,583,"Sunday"
5577150313,2016-04-18,1,527,553,"Monday"
5577150313,2016-04-19,1,449,465,"Tuesday"
5577150313,2016-04-20,1,447,480,"Wednesday"
5577150313,2016-04-21,1,414,437,"Thursday"
5577150313,2016-04-22,1,338,366,"Friday"
5577150313,2016-04-23,1,384,402,"Saturday"
5577150313,2016-04-24,1,543,615,"Sunday"
5577150313,2016-04-25,1,421,461,"Monday"
5577150313,2016-04-26,1,354,377,"Tuesday"
5577150313,2016-04-27,1,424,452,"Wednesday"
5577150313,2016-04-28,1,361,372,"Thursday"
5577150313,2016-04-29,1,459,485,"Friday"
5577150313,2016-04-30,1,412,433,"Saturday"
5577150313,2016-05-01,1,379,398,"Sunday"
5577150313,2016-05-02,2,525,553,"Monday"
5577150313,2016-05-03,1,508,543,"Tuesday"
5577150313,2016-05-04,1,603,634,"Wednesday"
5577150313,2016-05-05,1,74,78,"Thursday"
5577150313,2016-05-10,1,504,562,"Tuesday"
5577150313,2016-05-11,1,431,476,"Wednesday"
6117666160,2016-04-16,1,380,398,"Saturday"
6117666160,2016-04-17,2,336,350,"Sunday"
6117666160,2016-04-18,2,493,510,"Monday"
6117666160,2016-04-19,1,465,492,"Tuesday"
6117666160,2016-04-20,1,474,502,"Wednesday"
6117666160,2016-04-21,1,508,550,"Thursday"
6117666160,2016-04-22,1,480,546,"Friday"
6117666160,2016-04-23,1,492,539,"Saturday"
6117666160,2016-04-24,1,353,367,"Sunday"
6117666160,2016-04-27,1,542,557,"Wednesday"
6117666160,2016-04-28,1,393,416,"Thursday"
6117666160,2016-04-29,1,600,636,"Friday"
6117666160,2016-05-01,1,507,575,"Sunday"
6117666160,2016-05-05,1,392,415,"Thursday"
6117666160,2016-05-06,2,658,698,"Friday"
6117666160,2016-05-07,2,498,507,"Saturday"
6117666160,2016-05-08,1,555,603,"Sunday"
6117666160,2016-05-09,1,492,522,"Monday"
6775888955,2016-04-13,1,235,260,"Wednesday"
6775888955,2016-04-14,1,423,441,"Thursday"
6775888955,2016-04-15,1,391,406,"Friday"
6962181067,2016-04-12,1,366,387,"Tuesday"
6962181067,2016-04-13,3,630,679,"Wednesday"
6962181067,2016-04-14,2,508,535,"Thursday"
6962181067,2016-04-15,1,370,386,"Friday"
6962181067,2016-04-16,1,357,366,"Saturday"
6962181067,2016-04-17,1,427,446,"Sunday"
6962181067,2016-04-18,1,442,458,"Monday"
6962181067,2016-04-19,1,476,535,"Tuesday"
6962181067,2016-04-20,1,418,424,"Wednesday"
6962181067,2016-04-21,1,451,457,"Thursday"
6962181067,2016-04-22,1,425,435,"Friday"
6962181067,2016-04-23,1,528,546,"Saturday"
6962181067,2016-04-24,1,511,514,"Sunday"
6962181067,2016-04-25,1,400,415,"Monday"
6962181067,2016-04-26,1,441,446,"Tuesday"
6962181067,2016-04-27,1,455,467,"Wednesday"
6962181067,2016-04-28,1,440,453,"Thursday"
6962181067,2016-04-29,1,433,447,"Friday"
6962181067,2016-04-30,1,422,424,"Saturday"
6962181067,2016-05-01,1,411,426,"Sunday"
6962181067,2016-05-02,1,466,482,"Monday"
6962181067,2016-05-03,1,394,418,"Tuesday"
6962181067,2016-05-04,1,442,455,"Wednesday"
6962181067,2016-05-05,1,467,491,"Thursday"
6962181067,2016-05-06,1,443,462,"Friday"
6962181067,2016-05-07,1,298,334,"Saturday"
6962181067,2016-05-08,1,541,569,"Sunday"
6962181067,2016-05-09,1,489,497,"Monday"
6962181067,2016-05-10,1,469,481,"Tuesday"
6962181067,2016-05-11,1,452,480,"Wednesday"
6962181067,2016-05-12,1,516,535,"Thursday"
7007744171,2016-04-16,1,79,82,"Saturday"
7007744171,2016-05-01,1,58,61,"Sunday"
7086361926,2016-04-12,1,514,525,"Tuesday"
7086361926,2016-04-13,1,451,465,"Wednesday"
7086361926,2016-04-14,1,472,476,"Thursday"
7086361926,2016-04-15,1,377,386,"Friday"
7086361926,2016-04-19,1,472,483,"Tuesday"
7086361926,2016-04-20,1,492,502,"Wednesday"
7086361926,2016-04-21,1,390,411,"Thursday"
7086361926,2016-04-22,1,428,448,"Friday"
7086361926,2016-04-24,1,681,704,"Sunday"
7086361926,2016-04-25,1,446,447,"Monday"
7086361926,2016-04-26,1,485,500,"Tuesday"
7086361926,2016-04-27,1,469,479,"Wednesday"
7086361926,2016-04-28,1,354,367,"Thursday"
7086361926,2016-04-30,1,485,489,"Saturday"
7086361926,2016-05-01,1,388,407,"Sunday"
7086361926,2016-05-02,1,440,459,"Monday"
7086361926,2016-05-03,1,456,461,"Tuesday"
7086361926,2016-05-04,1,420,436,"Wednesday"
7086361926,2016-05-06,1,322,333,"Friday"
7086361926,2016-05-07,1,530,548,"Saturday"
7086361926,2016-05-08,1,481,510,"Sunday"
7086361926,2016-05-09,1,427,438,"Monday"
7086361926,2016-05-11,1,451,463,"Wednesday"
7086361926,2016-05-12,1,444,457,"Thursday"
8053475328,2016-04-20,1,486,493,"Wednesday"
8053475328,2016-04-23,1,331,337,"Saturday"
8053475328,2016-05-07,1,74,75,"Saturday"
8378563200,2016-04-12,1,338,356,"Tuesday"
8378563200,2016-04-13,2,447,487,"Wednesday"
8378563200,2016-04-14,1,424,455,"Thursday"
8378563200,2016-04-15,1,513,533,"Friday"
8378563200,2016-04-16,2,611,689,"Saturday"
8378563200,2016-04-17,2,525,591,"Sunday"
8378563200,2016-04-18,1,398,451,"Monday"
8378563200,2016-04-19,1,387,421,"Tuesday"
8378563200,2016-04-20,1,381,409,"Wednesday"
8378563200,2016-04-21,1,396,417,"Thursday"
8378563200,2016-04-22,1,441,469,"Friday"
8378563200,2016-04-23,1,565,591,"Saturday"
8378563200,2016-04-24,1,458,492,"Sunday"
8378563200,2016-04-25,1,388,402,"Monday"
8378563200,2016-04-25,1,388,402,"Monday"
8378563200,2016-04-26,1,550,584,"Tuesday"
8378563200,2016-04-27,1,531,600,"Wednesday"
8378563200,2016-04-28,1,506,556,"Thursday"
8378563200,2016-04-29,1,527,562,"Friday"
8378563200,2016-04-30,1,468,555,"Saturday"
8378563200,2016-05-01,1,475,539,"Sunday"
8378563200,2016-05-02,1,351,385,"Monday"
8378563200,2016-05-03,1,405,429,"Tuesday"
8378563200,2016-05-04,1,441,477,"Wednesday"
8378563200,2016-05-05,1,381,417,"Thursday"
8378563200,2016-05-06,1,323,355,"Friday"
8378563200,2016-05-07,2,459,513,"Saturday"
8378563200,2016-05-08,1,545,606,"Sunday"
8378563200,2016-05-09,1,359,399,"Monday"
8378563200,2016-05-10,1,342,391,"Tuesday"
8378563200,2016-05-11,1,368,387,"Wednesday"
8378563200,2016-05-12,1,496,546,"Thursday"
8792009665,2016-04-12,1,458,493,"Tuesday"
8792009665,2016-04-13,1,531,552,"Wednesday"
8792009665,2016-04-14,1,486,503,"Thursday"
8792009665,2016-04-15,1,363,377,"Friday"
8792009665,2016-04-20,1,528,547,"Wednesday"
8792009665,2016-04-22,1,391,407,"Friday"
8792009665,2016-04-23,1,339,360,"Saturday"
8792009665,2016-04-27,1,423,428,"Wednesday"
8792009665,2016-04-28,1,402,416,"Thursday"
8792009665,2016-04-29,1,398,406,"Friday"
8792009665,2016-04-30,1,343,360,"Saturday"
8792009665,2016-05-01,1,503,527,"Sunday"
8792009665,2016-05-02,1,415,423,"Monday"
8792009665,2016-05-03,1,516,545,"Tuesday"
8792009665,2016-05-04,1,439,463,"Wednesday"
